integer_key,column_name,reference_name,display_name,short_display_name,description,value_mappings
,sum_avg_141_142,,3G average ul/dl,,,
,c_type,,Connection Type,,,"{""1"": ""WiFi"", ""2"": ""3G""}"
,connections_per_day,,Connections / Day,,,
,conn_per_day,,Connections / Day,,,
,sum_avg_upload_download,,Average Data Uploaded and Downloaded,,,
,connections_per_hour,,Connections / Hour,,,
,failure_rate,,Failure Rate,,,
,sum_avg_upload_download_3g,,Average Up and Dwn (3G),,,
,sum_avg_upload_download_4g,,Average Up and Dwn (4G),,,
,sum_avg_upload_download_ethernet,,Average Up and Dwn (Ethernet),,,
,sum_avg_upload_download_wifi,,Average Up and Dwn (Wi-Fi),,,
,manufacturer,,Manufacturer,,,
,devicemodel,,Model,,,
,user_share,,Share,,,
,sum_users,,Users,,,
,avg_conn_time_per_day,,Time Conn / Day,,,
,avg_data_upload_per_day,,Data Up / Day (kB),,,
,avg_data_download_per_day,,Data Dwn / Day (kB),,,
,avg_peak_download_speed,,Avg Peak Dwn Sp (kB/s),,,
,avg_peak_upload_speed,,Avg Peak Up Sp (kB/s),,,
,throughput_per_day,,Throughput / Day (kB),,,
,avg_time_conn_per_day,,Time Conn / Day,,,
,error_code,,Error Code,,,
,error_msg,,Description,,,
,connection_type,,Conn. Type,,,
,percent_user_affected,,% Users,,,
,frequency_per_hour,,Freq / Hr,,,
,total_cnt_error,,Total,,,
,failed_conn_per_day,,Failed / Day,,,
,dropped_per_day,,Drops / Day,,,
,avg_time_conn_per_session,,Avg Session Length,,,
,avg_uploaded_per_day,,Data Up / Day (kB),,,
,avg_downloaded_per_day,,Data Dwn / Day (kB),,,
,avg_download_speed,,Avg Down Sp (kB/s),,,
,avg_upload_speed,,Avg Up Sp (kB/s),,,
,avg_signal_strength,,Avg Signal,,,
,kpi,,KPI,,,
,actual,,Actual,,,
,target,,Target,,,
,trend_3_month,,3-Mon Trend,,,
,change,,Chg,,,
,device,,Device,,,